Month,#Passengers
2019-01,31
2019-02,30
2019-03,35
2019-04,34
2019-05,35
2019-06,42
2019-07,46
2019-08,46
2019-09,40
2019-10,34
2019-11,30
2019-12,33
2020-01,34
2020-02,31
2020-03,36
2020-04,34
2020-05,36
2020-06,43
2020-07,49
2020-08,50
2020-09,40
2020-10,35
2020-11,31
2020-12,33
2021-01,36
2021-02,34
2021-03,40
2021-04,39
2021-05,42
2021-06,47
2021-07,54
2021-08,55
2021-09,46
2021-10,40
2021-11,36
2021-12,40
2022-01,41
2022-02,39
2022-03,41
2022-04,46
2022-05,47
2022-06,53
2022-07,62
2022-08,60
2022-09,50
2022-10,46
2022-11,39
2022-12,43
